Site,Lat.South,Long.East,Alt.AHD,Date,PM10.24h.mcrg.m3,CO.24h.ppm,SO2.24h.pphm,NO.24h.pphm,NO2.24h.pphm,OZONE.24h.pphm.1
BARGO,-34.3063,150.5806,365,1,,,0.1,1.2,1,1.3
BERESFIELD,-32.79679,151.66102,14,1,,,0.3,0.9,1,1
BRADFIELD HIGHWAY,-33.84343,151.21142,36,1,,0.2,0.2,5.3,2.7,0.5
BRINGELLY,-33.91765,150.76193,53,1,36.7,,0,0.6,0.5,0.9
CAMDEN,-34.0417,150.69014,73,1,,0.1,,0.5,0.7,1.2
CAMPBELLTOWN WEST,-34.06667,150.79554,112,1,,0.3,0.1,1.9,1.5,0.9
CARRINGTON,-32.90972,151.7633,5,1,,,0.2,1.5,1.6,
CHULLORA,-33.89157,151.04606,32,1,,0.1,0.1,1.9,1.6,1
COFFS HARBOUR,-30.29831,153.11808,21,1,,0.2,,0,0.5,1.6
COOK AND PHILLIP,-33.87247,151.21334,26,1,,,,,,
EARLWOOD,-33.91618,151.13579,7,1,,,,1.9,1.5,1
GOULBURN,-34.73451,149.72421,702,1,,,,0.4,0.5,1.5
GUNNEDAH,-30.98188,150.26067,272,1,,,,0.4,0.9,1.1
KEMBLA GRANGE,-34.47442,150.81916,5,1,,,,0.4,0.8,1.4
LIDCOMBE,-33.88141,151.04678,39,1,,,0.1,1.2,1.5,1.3
LIVERPOOL,-33.9313,150.9073,22,1,30.8,0.2,0.1,4,1.7,0.9
MACQUARIE PARK,-33.76528,151.11777,49,1,,0.2,0.1,0.5,0.6,1.5
MAYFIELD,-32.88506,151.72835,5,1,,,0.2,1.4,1.7,
MERRIWA,-32.12578,150.4593,406,1,,,,,,
MUSWELLBROOK,-32.27159,150.88593,145,1,,,,,,
NEWCASTLE,-32.93118,151.75963,5,1,,0.2,0.2,0.7,1.2,1.2
OAKDALE,-34.05171,150.49819,457,1,,,,0,0.1,2.6
PENRITH,-33.7269,150.7038,27,1,,,,,,
PORT MACQUARIE,-31.44776,152.87653,73,1,,,,,,
RANDWICK,-33.93178,151.2428,28,1,26.2,,0.1,0.7,1.1,1.3
RICHMOND,-33.61644,150.74735,21,1,,,0.1,0.1,0.3,1.4
ROUSE HILL,-33.68276,150.90371,73,1,,0.2,0.1,0.3,0.4,1.8
ROZELLE,-33.86435,151.16393,22,1,22.2,0.2,0.1,0.8,1.5,1.2
SINGLETON,-32.55748,151.17688,42,1,,,0.5,1.8,1.5,
ST MARYS,-33.79516,150.7668,29,1,,,,0.5,0.6,1
STOCKTON,-32.90197,151.78427,5,1,,,0.2,1.3,1.6,
WALLSEND,-32.89439,151.67021,8,1,,,0.2,0.7,1.1,1.2
WOLLONGONG,-34.41706,150.88733,15,1,,0.2,0,1,1.2,1.4
WYONG,-33.27897,151.43241,3,1,,0.3,0.1,0.1,0.5,1.8
BARGO,-34.3063,150.5806,365,2,,,0.1,0.3,0.3,2.2
BERESFIELD,-32.79679,151.66102,14,2,,,0.1,1.5,1.2,1.2
BRADFIELD HIGHWAY,-33.84343,151.21142,36,2,,,,,,
BRINGELLY,-33.91765,150.76193,53,2,24.8,,0,,,1.1
