"Site","Lat.South","Long.East","Alt.AHD","Time","TEMP.1h.C","HUMID.1h","RAIN.1h.mm.m2","WSP.1h.m.s","WDR.1h","SOLAR.1h.W.m2","PM2.5.1h.mcrg.m3","PM10.1h.mcrg.m3","CO.1h.ppm","CO.8h.rlg.ppm","SO2.1h.pphm","NO.1h.pphm","NO2.1h.pphm","SD1.1h","NEPH.1h.bsp","OZONE.1h.pphm","OZONE.4h.rlg.pphm","NH3.1h.pphm"
"BERESFIELD",-32.79679,151.66102,14,1,15.7,97.9,NA,1.4,309.5,NA,5.1,7.8,NA,NA,0.1,3.4,0.5,15.64,0.21,0,0,NA
"BRINGELLY",-33.91765,150.76193,53,1,14.4,100.3,NA,0.1,191.8,3.2,4.2,NA,NA,NA,0,0.7,0.3,100.51,0.17,0.1,0.1,NA
"CARRINGTON",-32.90972,151.7633,5,1,17.3,93.2,0,1,284.2,NA,6.4,16.1,NA,NA,0.1,4,1.1,17.6,NA,NA,NA,NA
"CHULLORA",-33.89157,151.04606,32,1,17.1,92.9,NA,0.5,344.2,-2.8,7,11.2,0.1,0.1,0.2,1.7,1.3,38.9,0.13,0.1,0.1,NA
"EARLWOOD",-33.91618,151.13579,7,1,17.3,94.4,NA,0.1,182.7,NA,4.4,8,NA,NA,NA,2.2,0.9,81.39,0.12,0,0,NA
"KEMBLA GRANGE",-34.47442,150.81916,5,1,18.3,86.9,NA,0.8,40.8,-3.4,0.3,2.8,NA,NA,NA,0,0.5,60.76,0.08,0.7,0.5,NA
"LINDFIELD",-33.78113,151.1509,60,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LIVERPOOL",-33.9313,150.9073,22,1,17.1,93.5,NA,0.3,211.7,NA,10.6,13.1,0.3,0.2,0.1,5.3,1.4,48.76,0.21,0,0,NA
"MAYFIELD",-32.88506,151.72835,5,1,16.8,95.7,NA,0.9,287.8,-2.8,2.7,16,NA,NA,0.1,5.1,0.9,25.79,NA,NA,NA,NA
"NEWCASTLE",-32.93118,151.75963,5,1,16.6,94.3,NA,0.7,294.4,NA,0.6,9.3,0.3,0.3,0.1,2.2,0.8,26.77,0.11,0.1,0.1,NA
"RANDWICK",-33.93178,151.2428,28,1,17.5,91,NA,0.3,41.5,NA,1.6,6.6,NA,NA,0.1,0.5,1,23.31,0.11,0.2,0.6,NA
"RICHMOND",-33.61644,150.74735,21,1,16.5,NA,NA,0.3,16.3,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"ROZELLE",-33.86435,151.16393,22,1,18.2,89.5,0,0.7,331.5,-8.5,2.3,5,0.2,0.2,0.2,0.1,1.1,35.63,0.08,0.2,0.7,NA
"STOCKTON",-32.90197,151.78427,5,1,18.4,94,NA,1.9,298.6,NA,8.6,38,NA,NA,NA,NA,NA,38.63,NA,NA,NA,NA
"TAMWORTH",-31.10991,150.9145,405,1,15.4,85.1,NA,1.4,156.7,NA,1.3,7.1,NA,NA,NA,NA,NA,18.21,NA,1.1,1.2,NA
"WALLSEND",-32.89439,151.67021,8,1,15.4,95.6,NA,0.3,254.9,-2.2,0.8,4.6,NA,NA,0,0.6,0.5,68.82,0.08,0.1,0.1,NA
"WOLLONGONG",-34.41706,150.88733,15,1,19.8,83,0,0.3,281.7,NA,53.2,6.6,0.1,0.2,0,0,0.4,86.16,0.09,0.9,1.1,NA
"WYONG",-33.27897,151.43241,3,1,16.3,97.1,0,0.9,346.9,NA,-4.7,6.5,0.2,0.2,0,0,0.2,24.89,0.06,0.2,0.1,NA
"BERESFIELD",-32.79679,151.66102,14,2,15.4,98.3,NA,1.5,324.5,NA,5.6,5.9,NA,NA,NA,NA,NA,18.11,0.14,NA,0,NA
"BRINGELLY",-33.91765,150.76193,53,2,14.4,100.5,NA,0.2,121.5,3.8,2.8,4.1,NA,NA,NA,NA,NA,76.61,0.34,NA,0.1,NA
"CARRINGTON",-32.90972,151.7633,5,2,17,93.2,0,0.9,318.5,NA,7.2,10.2,NA,NA,NA,NA,NA,21.78,NA,NA,NA,NA
"CHULLORA",-33.89157,151.04606,32,2,16.6,93.2,NA,0.5,283.7,-2.8,4.3,9,NA,0.1,NA,NA,NA,36.26,0.12,NA,0.1,NA
"EARLWOOD",-33.91618,151.13579,7,2,17.1,94.3,NA,0.3,254.9,NA,0.8,7.8,NA,NA,NA,NA,NA,44.04,0.11,NA,0,NA
