,NSW air quality monitoring (AQMN) site,AQMN Region,"Sub-region,where applicable",Site address,"Latitude
(South)","Longitude
(East)",Altitude (ahd),Commissioned,Status,Station type,Timezone of site location,Timezone observations reported in,Station Movement (m),PM10,PM2.5,TSP (indicative),NO/NO2/NOx,SO2,O3,NEPH,CO,NH3,WSP/WD/SD1,TEMP/RH,SOLAR,PRECIPITATION,Black Carbon,Web link to station meta data page
,Upper Hunter,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/upper-hunter
,Aberdeen ,Upper Hunter,,"Abercairney Terrace, Aberdeen ",-32.17734,150.88416,177,2011,Active,Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,,,,,,,,,ü,ü,,ü,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/upper-hunter/monitoring-stations/bulga
,Bulga,Upper Hunter,,1893 Putty Rd,-32.64871,151.03602,67,2011,Active,Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,,,,,,,,,ü,ü,,ü,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/upper-hunter/monitoring-stations/camberwell
,Camberwell,Upper Hunter,,Dulwich Place and McInerneys Rd,-32.47233,151.09180,82,2011,Active,Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,,,,,,,,ü,ü,,ü,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/upper-hunter/monitoring-stations/maison-dieu
,Jerrys Plains,Upper Hunter,,"Coolmore Stud, Jerrys Plains Rd",-32.47682,150.88015,87,2011,Active,Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,,,,,,,,,ü,ü,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/upper-hunter/monitoring-stations/mt-thorley
,Maison Dieu,Upper Hunter,,Maison Dieu Rd,-32.52497,151.06190,65,2011,Active,Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,,,,,,,,,ü,ü,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/upper-hunter/monitoring-stations/aberdeen
,Merriwa,Upper Hunter,,"Lot 3, Merriwa Scone Rd",-32.12578,150.45930,406,2012,Active,Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,,ü,ü,ü,ü,ü,,ü,ü,,ü,ü,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/upper-hunter/monitoring-stations/jerrys-plains
,Mount Thorley,Upper Hunter,,154 Broke Rd,-32.63595,151.12813,74,2011,Active,Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,,,,,,,,,ü,ü,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/upper-hunter/monitoring-stations/merriwa
,Muswellbrook,Upper Hunter,,Bowman Park,-32.27159,150.88593,145,2010,Active,Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,,ü,ü,,,,,ü,ü,,ü,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/upper-hunter/monitoring-stations/muswellbrook
,Muswellbrook NW ,Upper Hunter,,Cnr Wybong Rd and Kayuga Rd,-32.25322,150.88125,143,2011,Active,Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,,,,,,,,,ü,ü,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/upper-hunter/monitoring-stations/muswellbrook-north-west
,Singleton,Upper Hunter,,Civic Avenue,-32.55748,151.17688,42,2010,Active,Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,,ü,ü,,,,,ü,ü,,ü,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/upper-hunter/monitoring-stations/singleton
,Singleton NW,Upper Hunter,,Near Rixs Creek Coal Mine,-32.52980,151.15008,123,2011 ,Active,Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,,,,,,,,,ü,ü,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/upper-hunter/monitoring-stations/singleton-north-west
